FILENAME,SEC_CHECKBOX,SEC_SUBJECT,CHECKBOX,TEXT_BOX_PAIR,MARK,HANDWRITTEN,SIGNATURE
D:/PareIT/Combined\Rogres Initial Ortho.pdf\1-4,,,,,,,1
D:/PareIT/Combined\Rolling Oaks Radiology.pdf\1-2,,,,,,,
D:/PareIT/Combined\ROLLINS - Brian Rudin MD Independent Medical Evaluation.pdf\1-35,,,,,,12,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 1.a Schafer Ambulance - Medical Records.pdf\4-4,,,,,,,
"D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 10.a Edward C. Kolpin, D.O. - Medical Records.pdf\1-6",,,,,,,1
"D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 11.a James M. Richards, M.D. - Medical Records.pdf\1-6",,,,,,,1
"D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 11.a James M. Richards, M.D. - Medical Records.pdf\10-11",,,,,,6,
"D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 11.a James M. Richards, M.D. - Medical Records.pdf\12-12",,,,,,,
"D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 11.a James M. Richards, M.D. - Medical Records.pdf\13-13",,,1,1,,20,
"D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 11.a James M. Richards, M.D. - Medical Records.pdf\14-14",,,,,1,1,
"D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 11.a James M. Richards, M.D. - Medical Records.pdf\8-8",,,,,,,
"D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 11.a James M. Richards, M.D. - Medical Records.pdf\9-9",,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 13.a Avalon Surgery Center & Robotics - Medical Records.pdf\1-1,,,,,,6,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 13.a Avalon Surgery Center & Robotics - Medical Records.pdf\17-17,1,1,5,5,,10,3
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 13.a Avalon Surgery Center & Robotics - Medical Records.pdf\18-18,,,,,,2,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 13.a Avalon Surgery Center & Robotics - Medical Records.pdf\19-19,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 13.a Avalon Surgery Center & Robotics - Medical Records.pdf\2-3,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 13.a Avalon Surgery Center & Robotics - Medical Records.pdf\24-24,,,1,1,,19,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 13.a Avalon Surgery Center & Robotics - Medical Records.pdf\25-25,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 13.a Avalon Surgery Center & Robotics - Medical Records.pdf\26-26,,,,,4,30,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 13.a Avalon Surgery Center & Robotics - Medical Records.pdf\27-27,2,2,30,15,,8,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 13.a Avalon Surgery Center & Robotics - Medical Records.pdf\30-30,12,11,31,31,,2,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 13.a Avalon Surgery Center & Robotics - Medical Records.pdf\33-38,,,,,,1,7
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 13.a Avalon Surgery Center & Robotics - Medical Records.pdf\4-5,,,,,,,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 13.a Avalon Surgery Center & Robotics - Medical Records.pdf\45-45,,,,,,,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 13.a Avalon Surgery Center & Robotics - Medical Records.pdf\46-46,,,,,,,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 13.a Avalon Surgery Center & Robotics - Medical Records.pdf\47-48,,,,,,6,2
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 13.a Avalon Surgery Center & Robotics - Medical Records.pdf\49-49,,,,,,,2
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 13.a Avalon Surgery Center & Robotics - Medical Records.pdf\51-51,,,,,,,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 13.a Avalon Surgery Center & Robotics - Medical Records.pdf\52-52,,,,,,,2
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 13.a Avalon Surgery Center & Robotics - Medical Records.pdf\53-53,4,4,25,25,,12,4
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 13.a Avalon Surgery Center & Robotics - Medical Records.pdf\54-54,4,3,24,24,3,2,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 13.a Avalon Surgery Center & Robotics - Medical Records.pdf\55-55,,,,,,6,2
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 13.a Avalon Surgery Center & Robotics - Medical Records.pdf\56-56,7,7,11,11,,6,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 13.a Avalon Surgery Center & Robotics - Medical Records.pdf\59-59,9,10,65,66,1,41,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 13.a Avalon Surgery Center & Robotics - Medical Records.pdf\8-8,3,3,10,10,,29,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 15.a Inglewood Physical Therapy - Medical Records.pdf\1-2,,,,,,,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 15.a Inglewood Physical Therapy - Medical Records.pdf\3-4,,,,,,,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 15.a Inglewood Physical Therapy - Medical Records.pdf\5-5,,,,,,,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 15.a Inglewood Physical Therapy - Medical Records.pdf\6-7,,,,,,,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 15.a Inglewood Physical Therapy - Medical Records.pdf\8-9,,,,,,,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 15.b Inglewood Physical Therapy - Billing.pdf\2-2,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 2.a UCLA - Medical Records.pdf\1-5,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 2.a UCLA - Medical Records.pdf\100-100,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 2.a UCLA - Medical Records.pdf\104-104,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 2.a UCLA - Medical Records.pdf\116-140,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 2.a UCLA - Medical Records.pdf\14-20,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 2.a UCLA - Medical Records.pdf\154-155,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 2.a UCLA - Medical Records.pdf\160-164,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 2.a UCLA - Medical Records.pdf\165-170,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 2.a UCLA - Medical Records.pdf\171-177,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 2.a UCLA - Medical Records.pdf\178-184,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 2.a UCLA - Medical Records.pdf\185-190,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 2.a UCLA - Medical Records.pdf\191-196,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 2.a UCLA - Medical Records.pdf\21-36,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 2.a UCLA - Medical Records.pdf\37-38,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 2.a UCLA - Medical Records.pdf\39-40,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 2.a UCLA - Medical Records.pdf\41-41,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 2.a UCLA - Medical Records.pdf\42-44,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 2.a UCLA - Medical Records.pdf\45-64,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 2.a UCLA - Medical Records.pdf\6-8,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 2.a UCLA - Medical Records.pdf\65-68,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 2.a UCLA - Medical Records.pdf\69-75,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 2.a UCLA - Medical Records.pdf\76-76,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 2.a UCLA - Medical Records.pdf\77-91,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 2.a UCLA - Medical Records.pdf\9-13,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 2.a UCLA - Medical Records.pdf\92-96,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 2.a UCLA - Medical Records.pdf\97-98,,,,,,,
"D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 3.a Robert Baek, D.C. - Medical Records.pdf\1-7",,,,,,,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 3.a Shin Imaging Center - Medical Records.pdf\1-1,,,,,,,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 4.a EZ Diagnostic Center - Medical Records.pdf\1-1,,,,,,,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 4.a EZ Diagnostic Center - Medical Records.pdf\2-3,,,,,,,1
"D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 4.a Robert S. Baek, D.C. - Medical Records.pdf\1-7",,,,,,,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 5.a Arash Yaghoobian - Medical Records.pdf\1-1,,,4,4,,,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 5.a Arash Yaghoobian - Medical Records.pdf\11-15,,,,,,,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 5.a Arash Yaghoobian - Medical Records.pdf\16-20,,,,,,,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 5.a Arash Yaghoobian - Medical Records.pdf\2-2,,,4,4,,,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 5.a Arash Yaghoobian - Medical Records.pdf\3-10,,,,,,,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 5.a EZ Diagnostic - Medical Records.pdf\1-2,,,,,,,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 5.a EZ Diagnostic - Medical Records.pdf\3-4,,,,,,,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 5.a EZ Diagnostic - Medical Records.pdf\5-6,,,,,,,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 6.a Kinetix Surgery Center - Medical Records.pdf\1-3,,,,,,,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 6.a Kinetix Surgery Center - Medical Records.pdf\10-12,,,,,,,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 6.a Kinetix Surgery Center - Medical Records.pdf\13-15,,,,,,,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 6.a Kinetix Surgery Center - Medical Records.pdf\16-18,,,,,,,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 6.a Kinetix Surgery Center - Medical Records.pdf\4-6,,,,,,,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 6.a Kinetix Surgery Center - Medical Records.pdf\7-9,,,,,,,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 6.a Ronald S. Kvitne - Medical Records.pdf\1-2,,,,,,,1
"D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 7.a Arash Yaghoobian, M.D. - Medical Records.pdf\1-7",,,,,,,1
"D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 7.a Arash Yaghoobian, M.D. - Medical Records.pdf\14-19",,,,,,,1
"D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 7.a Arash Yaghoobian, M.D. - Medical Records.pdf\20-25",,,,,,,1
"D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 7.a Arash Yaghoobian, M.D. - Medical Records.pdf\26-31",,,,,,,1
"D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 7.a Arash Yaghoobian, M.D. - Medical Records.pdf\8-13",,,,,,,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 8.a Kinetix Surgery Center - Medical Records.pdf\1-3,,,,,,,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 8.a Kinetix Surgery Center - Medical Records.pdf\10-12,,,,,,,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 8.a Kinetix Surgery Center - Medical Records.pdf\13-15,,,,,,,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 8.a Kinetix Surgery Center - Medical Records.pdf\16-18,,,,,,,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 8.a Kinetix Surgery Center - Medical Records.pdf\4-6,,,,,,,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 8.a Kinetix Surgery Center - Medical Records.pdf\7-9,,,,,,,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 9.a Pacific Anesthesia Group - Medical Records.pdf\1-1,5,5,28,23,8,55,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 9.a Sunset Diagnostic Radiology - Medical Records.pdf\1-1,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - 9.a Sunset Diagnostic Radiology - Medical Records.pdf\2-4,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - Accident & Injury Center - Medical Records.pdf\1-4,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - Anaheim Advanced Imaging - Medical Records.pdf\1-1,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - Anaheim Advanced Imaging - Medical Records.pdf\2-2,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - Anaheim Advanced Imaging - Medical Records.pdf\3-3,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - Anaheim Advanced Imaging - Medical Records.pdf\4-4,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - Anaheim Regional Medical Center - Medical Records.pdf\1-1,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - Anaheim Regional Medical Center - Medical Records.pdf\10-11,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - Anaheim Regional Medical Center - Medical Records.pdf\12-12,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - Anaheim Regional Medical Center - Medical Records.pdf\23-24,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - Anaheim Regional Medical Center - Medical Records.pdf\25-25,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - Anaheim Regional Medical Center - Medical Records.pdf\3-5,9,8,137,136,,9,3
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - Bay City Surgery Center - Medical Records.pdf\1-3,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - Bay City Surgery Center - Medical Records.pdf\10-10,1,1,7,7,,1,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - Bay City Surgery Center - Medical Records.pdf\12-12,2,2,7,7,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - Bay City Surgery Center - Medical Records.pdf\4-7,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - Bay City Surgery Center - Medical Records.pdf\8-8,1,1,7,7,,,
"D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - David Ramin, M.D. - Medical Records.pdf\1-2",,,,,,1,2
"D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - David Ramin, M.D. - Medical Records.pdf\12-14",,,,,,,
"D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - David Ramin, M.D. - Medical Records.pdf\15-15",,,,,,,1
"D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - David Ramin, M.D. - Medical Records.pdf\16-18",,,,,2,,2
"D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - David Ramin, M.D. - Medical Records.pdf\21-24",,,,,,,
"D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - David Ramin, M.D. - Medical Records.pdf\4-6",,,,,,,
"D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - David Ramin, M.D. - Medical Records.pdf\7-7",,,,,,,1
"D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - David Ramin, M.D. - Medical Records.pdf\8-9",,,,,,,2
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - Manhattan Beach Surgery Center - Medical Records.pdf\1-1,,,,,,,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - Manhattan Beach Surgery Center - Medical Records.pdf\2-2,,,,,,,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - Manhattan Beach Surgery Center - Medical Records.pdf\3-3,,,,,,,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - Manhattan Beach Surgery Center - Medical Records.pdf\4-4,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - Manhattan Beach Surgery Center - Medical Records.pdf\6-6,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - Mobin Neurosurgery - Medical Records.pdf\1-5,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - Mobin Neurosurgery - Medical Records.pdf\12-12,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - Mobin Neurosurgery - Medical Records.pdf\13-14,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - Mobin Neurosurgery - Medical Records.pdf\15-16,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - Mobin Neurosurgery - Medical Records.pdf\17-18,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - Mobin Neurosurgery - Medical Records.pdf\19-20,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - Mobin Neurosurgery - Medical Records.pdf\21-22,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - Mobin Neurosurgery - Medical Records.pdf\6-8,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - Mobin Neurosurgery - Medical Records.pdf\9-11,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - Skylar Orthopedics - Medical Records.pdf\1-4,,,,,,,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - Skylar Orthopedics - Medical Records.pdf\11-12,,,,,,,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - Skylar Orthopedics - Medical Records.pdf\13-14,,,,,,,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - Skylar Orthopedics - Medical Records.pdf\15-16,,,,,,,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - Skylar Orthopedics - Medical Records.pdf\17-22,,,,,,,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - Skylar Orthopedics - Medical Records.pdf\23-24,,,,,,,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - Skylar Orthopedics - Medical Records.pdf\25-26,,,,,,,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - Skylar Orthopedics - Medical Records.pdf\27-28,,,,,,,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - Skylar Orthopedics - Medical Records.pdf\29-30,,,,,,,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - Skylar Orthopedics - Medical Records.pdf\5-6,,,,,,,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - Skylar Orthopedics - Medical Records.pdf\7-10,,,,,,,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - United Medical Imaging - Medical Records.pdf\1-2,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - West Star Physical Therapy - Medical Records.pdf\1-1,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - West Star Physical Therapy - Medical Records.pdf\10-11,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - West Star Physical Therapy - Medical Records.pdf\12-13,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - West Star Physical Therapy - Medical Records.pdf\14-15,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - West Star Physical Therapy - Medical Records.pdf\16-17,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - West Star Physical Therapy - Medical Records.pdf\18-19,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - West Star Physical Therapy - Medical Records.pdf\2-3,,,,,,,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - West Star Physical Therapy - Medical Records.pdf\20-20,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - West Star Physical Therapy - Medical Records.pdf\21-22,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - West Star Physical Therapy - Medical Records.pdf\23-24,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - West Star Physical Therapy - Medical Records.pdf\25-26,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - West Star Physical Therapy - Medical Records.pdf\27-28,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - West Star Physical Therapy - Medical Records.pdf\29-30,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - West Star Physical Therapy - Medical Records.pdf\31-32,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - West Star Physical Therapy - Medical Records.pdf\33-34,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - West Star Physical Therapy - Medical Records.pdf\35-37,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - West Star Physical Therapy - Medical Records.pdf\38-39,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - West Star Physical Therapy - Medical Records.pdf\40-42,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - West Star Physical Therapy - Medical Records.pdf\43-44,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - West Star Physical Therapy - Medical Records.pdf\45-45,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - West Star Physical Therapy - Medical Records.pdf\46-47,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - West Star Physical Therapy - Medical Records.pdf\48-49,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - West Star Physical Therapy - Medical Records.pdf\50-52,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - West Star Physical Therapy - Medical Records.pdf\53-54,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - West Star Physical Therapy - Medical Records.pdf\55-56,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - West Star Physical Therapy - Medical Records.pdf\57-57,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - West Star Physical Therapy - Medical Records.pdf\58-58,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - West Star Physical Therapy - Medical Records.pdf\59-59,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - West Star Physical Therapy - Medical Records.pdf\60-60,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - West Star Physical Therapy - Medical Records.pdf\61-61,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - West Star Physical Therapy - Medical Records.pdf\62-63,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - West Star Physical Therapy - Medical Records.pdf\64-65,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - West Star Physical Therapy - Medical Records.pdf\66-67,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - West Star Physical Therapy - Medical Records.pdf\68-69,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - West Star Physical Therapy - Medical Records.pdf\7-7,,,,,,,1
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - West Star Physical Therapy - Medical Records.pdf\70-71,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - West Star Physical Therapy - Medical Records.pdf\72-74,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - West Star Physical Therapy - Medical Records.pdf\75-76,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - West Star Physical Therapy - Medical Records.pdf\77-79,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - West Star Physical Therapy - Medical Records.pdf\8-8,4,3,40,40,,,2
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - West Star Physical Therapy - Medical Records.pdf\81-82,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - West Star Physical Therapy - Medical Records.pdf\83-83,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - West Star Physical Therapy - Medical Records.pdf\84-84,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - West Star Physical Therapy - Medical Records.pdf\85-85,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - West Star Physical Therapy - Medical Records.pdf\86-86,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - West Star Physical Therapy - Medical Records.pdf\87-87,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - West Star Physical Therapy - Medical Records.pdf\88-89,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - West Star Physical Therapy - Medical Records.pdf\9-9,,,,,,20,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - West Star Physical Therapy - Medical Records.pdf\90-91,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - West Star Physical Therapy - Medical Records.pdf\92-92,,,,,,,
D:/PareIT/Combined\Roman-Delgado v. Edgar Delgado - West Star Physical Therapy - Medical Records.pdf\93-93,,,,,,,
"D:/PareIT/Combined\Ronald Fisk, MD .pdf\1-8",,,,,,,1
D:/PareIT/Combined\Roofian- Report DOS 12-30-2020.pdf\2-3,,,,,,,
D:/PareIT/Combined\Roofian-Report- DOS 12-10-20.pdf\1-4,,,,,,,
D:/PareIT/Combined\Rosales v. Lee - Biomechanics - Diego Rosales 2018.1.23 1010 Fax - RECORDS and BILL.pdf\2-4,,,,,,,1
D:/PareIT/Combined\Rosales v. Lee - Biomechanics - Diego Rosales 2018.1.24 1154 Information for new patient - filled out.pdf\13-13,14,14,84,82,,16,2
D:/PareIT/Combined\Rosales v. Lee - Biomechanics - Diego Rosales 2018.1.31 1637 Soloway Chiropractic - RECORDS.pdf\1-1,,,,,,,
D:/PareIT/Combined\Rosales v. Lee - Biomechanics - Diego Rosales 2018.1.31 1637 Soloway Chiropractic - RECORDS.pdf\10-11,,,,,,,
